Red,Green,Blue,Label
0.34970333274085386,0.375708506254558,0.3658850133560403,0
0.39304616985227464,0.42913725226106597,0.426368529117822,0
0.40326063580355775,0.4365254063304324,0.43599266600437603,0
0.3991073688095121,0.42416718221533817,0.42366547527846554,0
0.42476958763454725,0.44747279820529373,0.44513300811282963,0
0.39170196280517233,0.42121150665597373,0.4259590841513231,0
0.3823990420210062,0.41637306227184995,0.4281644727716813,0
0.4016364077487089,0.4351746515855478,0.44610203293816353,0
0.38911664409275326,0.4132578077492591,0.415458106905274,0
0.41414931081820894,0.4421711149675832,0.4503719787010653,0
0.44637761896429123,0.48016196839927844,0.4955233697409434,0
0.43877412285536277,0.4736133864911092,0.48532443914275003,0
0.3833353771565767,0.41257341401612657,0.41486813665783057,0
0.38159099411103414,0.405602759643631,0.40775282438001,0
0.3963241408364148,0.4247245632418604,0.43390282229025773,0
0.44127832876802886,0.4630380623039998,0.46643667627034036,0
0.3535745119396017,0.36970791584224744,0.36185592871787603,0
0.4456753389072302,0.46144833237801874,0.4587418195400523,0
0.4436725299133053,0.462037438593445,0.45839951933410805,0
0.4436543048658606,0.4582635161016524,0.456352171068464,0
0.4364781113419792,0.45128129633048836,0.44796040792874947,0
0.4359475325312352,0.45192805730696683,0.45289748687819453,0
0.43809873400076765,0.4535366093523509,0.4538148046977623,0
0.42861704470507395,0.44443691119519113,0.4438833164086396,0
0.4321912265327762,0.4458841877892357,0.447987632113653,0
0.4351198558806077,0.45056613042715526,0.45205912321360686,0
0.4345008070805381,0.44651808588374964,0.4434804851623016,0
0.4276227304376256,0.44288948726215893,0.4397061780183824,0
0.4228874101406697,0.43695223240612624,0.4374238790662891,0
0.4188647210617593,0.43211123324294526,0.4341611592519518,0
0.3988860560503595,0.4164963719840978,0.42043542793065947,0
0.4258283856735807,0.4445016590562946,0.4520345485355201,0
0.39455846413802104,0.4140784659338297,0.4172284998980388,0
0.4280548727501866,0.44778455588409777,0.45416578254088114,0
0.37738206450949147,0.39372656779614323,0.3955792189334267,0
0.392073353045894,0.4045236554169118,0.40721281585106733,0
0.4300840677318436,0.44865709330673226,0.45500490689810996,0
